code,name,market,exchange,industry,is_st,listing_date,total_market_cap,free_float_market_cap,latest_price,amount,pe_ttm,pb,is_suspended,is_penny_stock,is_biotech_w,is_profitable_biotech,avg_turnover_20d,effective_trade_days_30d,has_financial_history,consecutive_losses,long_negative_ocf,has_quality_financials,roe,gross_margin,net_margin,debt_asset_ratio,ocf_to_net_profit,has_growth_history,revenue_cagr,net_profit_cagr,valuation_industry,dividend_yield,fcf_yield,pe_percentile,pb_percentile,industry_dividend_median,industry_dividend_count
002262,恩华药业,CN,SZSE,C 制造业,False,2008-07-23T00:00:00.000,18985051236.27,16517779140.45,18.69,187370722.0,17.8,2.267,False,False,False,True,187370722.0,20.0,True,False,False,True,0.1388,0.7212716929,0.17887,0.1296005454,1.0199136661,True,0.1195240363,0.0772542354,C 制造业,0.0197433366,0.0568020462,0.3202959831,0.3472515856,0.0082352941,83
002351,漫步者,CN,SZSE,C 制造业,False,2010-02-05T00:00:00.000,8891070000.0,5210567750.0,10.0,57545770.0,20.833,2.892,False,False,False,True,57545770.0,20.0,True,False,False,True,0.1494,0.4063110203,0.1540878921,0.1577347379,0.9053091377,True,0.076567121,0.0931570859,C 制造业,0.017905103,0.0438848043,0.3530655391,0.4804439746,0.0082352941,83
002444,巨星科技,CN,SZSE,C 制造业,False,2010-07-13T00:00:00.000,35332664623.560005,33920244648.239998,29.58,378216063.0,14.078,1.848,False,False,False,True,378216063.0,20.0,True,False,False,True,0.1416,0.3271916382,0.1711214098,0.1897059232,0.9204069843,True,0.1141081835,0.1320084723,C 制造业,0.0132625995,0.0653774982,0.2806553911,0.2325581395,0.0082352941,83
002558,巨人网络,CN,SZSE,I 信息技术,False,2011-03-02T00:00:00.000,45423431106.9,45423192106.9,23.9,1021052338.0,25.426,2.784,False,False,False,True,1021052338.0,20.0,True,False,False,True,0.1245,0.9103330034,0.3476084045,0.1866990754,1.7013857745,True,0.1788231427,0.1126220485,I 信息技术,0.0072908672,0.065717305,0.4572649573,0.3076923077,0.0070491096,8
002632,道明光学,CN,SZSE,C 制造业,False,2011-11-22T00:00:00.000,6096087118.4,5606395427.360001,9.76,146188690.0,27.886,2.738,False,False,False,True,146188690.0,20.0,True,False,False,True,0.1022,0.3395833966,0.1486087975,0.2345438019,2.0239352801,True,0.0332463008,0.0554835219,C 制造业,0.0145797599,0.0735869417,0.4318181818,0.4524312896,0.0082352941,83
002833,弘亚数控,CN,SZSE,C 制造业,False,2016-12-28T00:00:00.000,7564061160.14,5139126760.81,17.83,97570604.0,17.653,2.532,False,False,False,True,97570604.0,20.0,True,False,False,True,0.1481,0.3211821155,0.177277808,0.296946955,1.444093536,True,0.0753251489,0.040872038,C 制造业,0.0307692308,0.0822050258,0.3181818182,0.4043340381,0.0082352941,83
002884,凌霄泵业,CN,SZSE,C 制造业,False,2017-07-11T00:00:00.000,5565539840.04,4249007913.28,15.56,42599246.0,12.252,2.214,False,False,False,True,42599246.0,20.0,True,False,False,True,0.1946,0.3566526569,0.2641487127,0.0757656657,1.0090553816,True,0.0371021947,0.0487780381,C 制造业,0.0539374326,0.0824774954,0.2595137421,0.3298097252,0.0082352941,83
300002,神州泰岳,CN,SZSE,I 信息技术,False,2009-10-30T00:00:00.000,14321025744.48,13475637105.84,7.28,278879197.0,17.813,1.832,False,False,False,True,278879197.0,20.0,True,False,False,True,0.1094,0.5771148976,0.1376972657,0.1264972039,1.4242297548,True,0.1011274398,0.1794579852,I 信息技术,0.0079365079,0.0797102294,0.4273504274,0.0982905983,0.0070491096,8
300009,安科生物,CN,SZSE,C 制造业,False,2009-10-30T00:00:00.000,12814274430.36,9435996269.44,7.67,98064840.0,17.432,2.701,False,False,False,True,98064840.0,20.0,True,False,False,True,0.175,0.7569796404,0.2777960379,0.1462414308,1.1741417785,True,0.0923777957,0.15417627,C 制造业,0.0304136253,0.0673639757,0.3150105708,0.439217759,0.0082352941,83
300130,新国都,CN,SZSE,C 制造业,False,2010-10-19T00:00:00.000,11760110819.79,9007969796.34,20.73,468037997.0,24.976,2.603,False,False,False,True,468037997.0,20.0,True,False,False,True,0.108,0.3435655744,0.1474307376,0.2835774497,0.8651312574,True,0.0385168217,0.4021454733,C 制造业,0.01447178,0.034488307,0.4048625793,0.4191331924,0.0082352941,83
300360,炬华科技,CN,SZSE,C 制造业,False,2014-01-21T00:00:00.000,6247373580.9,6078752977.05,12.15,53855218.0,11.045,1.47,False,False,False,True,53855218.0,20.0,True,False,False,True,0.1362,0.4310047044,0.3359794607,0.1529817718,0.8946670924,True,0.0898907628,0.140812303,C 制造业,0.0203389831,0.0811691022,0.2468287526,0.1363636364,0.0082352941,83
300470,中密控股,CN,SZSE,C 制造业,False,2015-06-12T00:00:00.000,6280444457.4,5954512376.8,30.2,60445440.0,16.128,2.113,False,False,False,True,60445440.0,20.0,True,False,False,True,0.138,0.4557914348,0.2178822379,0.1710208065,1.0607304061,True,0.1386086642,0.128106147,C 制造业,0.0162601626,0.0650915891,0.2996828753,0.3007399577,0.0082352941,83
300641,正丹股份,CN,SZSE,C 制造业,False,2017-04-18T00:00:00.000,9670024504.0,9670024504.0,18.4,491307768.0,13.529,2.95,False,False,False,True,491307768.0,20.0,True,False,False,True,0.2348,0.380968374,0.3117809311,0.0392229923,1.5544965116,True,0.1169199344,0.7541522421,C 制造业,0.0257864879,0.1148003662,0.2721987315,0.4878435518,0.0082352941,83
300705,九典制药,CN,SZSE,C 制造业,False,2017-10-10T00:00:00.000,5072952017.64,3740524005.6600003,10.14,44735515.0,10.563,1.912,False,False,False,True,44735515.0,20.0,True,False,False,True,0.1804,0.7294405354,0.1519875309,0.3067077209,1.3685128317,True,0.2603620401,0.4187350983,C 制造业,0.0330305533,0.1275505,0.2436575053,0.2489429175,0.0082352941,83
