code,name,market,exchange,industry,is_st,listing_date,total_market_cap,free_float_market_cap,latest_price,amount,pe_ttm,pb,is_suspended,is_penny_stock,is_biotech_w,is_profitable_biotech,avg_turnover_20d,effective_trade_days_30d,has_financial_history,consecutive_losses,long_negative_ocf,has_quality_financials,roe,gross_margin,net_margin,debt_asset_ratio,ocf_to_net_profit,has_growth_history,revenue_cagr,net_profit_cagr,valuation_industry,dividend_yield,fcf_yield,pe_percentile,pb_percentile,industry_dividend_median,industry_dividend_count
002262,恩华药业,CN,SZSE,C 制造业,False,2008-07-23T00:00:00.000,20244626599.19,17616662678.54,19.93,155309382.0,18.981,2.417,False,False,False,True,155309382.0,20.0,True,False,False,True,0.1388,0.7212716929,0.17887,0.1296005454,1.0199136661,True,0.1195240363,0.0772542354,C 制造业,0.0197433366,0.05326795,0.322410148,0.3652219873,0.0082352941,73
002444,巨星科技,CN,SZSE,C 制造业,False,2010-07-13T00:00:00.000,38748872224.08,37199889668.32,32.44,482372992.0,15.44,2.026,False,False,False,True,482372992.0,20.0,True,False,False,True,0.1416,0.3271916382,0.1711214098,0.1897059232,0.9204069843,True,0.1141081835,0.1320084723,C 制造业,0.0124300808,0.0596136374,0.282769556,0.2637420719,0.0082352941,73
002632,道明光学,CN,SZSE,C 制造业,False,2011-11-22T00:00:00.000,6414632654.3,5899352565.47,10.27,140187646.0,29.343,2.881,False,False,False,True,140187646.0,20.0,True,False,False,True,0.1022,0.3395833966,0.1486087975,0.2345438019,2.0239352801,True,0.0332463008,0.0554835219,C 制造业,0.0145797599,0.0699326729,0.4312896406,0.4598308668,0.0082352941,73
002831,裕同科技,CN,SZSE,C 制造业,False,2016-12-16T00:00:00.000,37695027825.0,20925172318.05,40.95,385440558.0,23.4,3.056,False,False,False,True,385440558.0,20.0,True,False,False,True,0.1356,0.2551327418,0.0923744601,0.4517028769,1.7189571393,True,0.0789532067,0.0728818542,C 制造业,0.0162264151,0.0726140387,0.3689217759,0.4947145877,0.0082352941,73
002833,弘亚数控,CN,SZSE,C 制造业,False,2016-12-28T00:00:00.000,7653149934.320001,5199654894.28,18.04,122715691.0,17.861,2.562,False,False,False,True,122715691.0,20.0,True,False,False,True,0.1481,0.3211821155,0.177277808,0.296946955,1.444093536,True,0.0753251489,0.040872038,C 制造业,0.0307692308,0.0812480936,0.3081395349,0.4043340381,0.0082352941,73
300009,安科生物,CN,SZSE,C 制造业,False,2009-10-30T00:00:00.000,13515968727.72,9952700106.88,8.09,103811711.0,18.386,2.849,False,False,False,True,103811711.0,20.0,True,False,False,True,0.175,0.7569796404,0.2777960379,0.1462414308,1.1741417785,True,0.0923777957,0.15417627,C 制造业,0.0304136253,0.0638667112,0.3160676533,0.4540169133,0.0082352941,73
300043,星辉娱乐,CN,SZSE,I 信息技术,False,2010-01-20T00:00:00.000,5773080580.639999,5769995444.64,4.64,120332500.0,19.333,3.229,False,False,False,True,120332500.0,20.0,True,False,False,True,0.189,0.5763140914,0.1441346485,0.3728089405,1.7890934438,True,0.0372391141,0.6324632316,I 信息技术,0.0104821803,0.0934650486,0.4230769231,0.4017094017,0.0078737113,8
300470,中密控股,CN,SZSE,C 制造业,False,2015-06-12T00:00:00.000,6455132316.48,6120134575.36,31.04,46974558.0,16.577,2.172,False,False,False,True,46974558.0,20.0,True,False,False,True,0.138,0.4557914348,0.2178822379,0.1710208065,1.0607304061,True,0.1386086642,0.128106147,C 制造业,0.0157381177,0.0633300899,0.2912262156,0.2996828753,0.0082352941,73
300533,冰川网络,CN,SZSE,I 信息技术,False,2016-08-18T00:00:00.000,5199428646.72,3658585186.08,15.84,77140463.0,7.689,3.418,False,False,False,True,77140463.0,20.0,True,False,False,True,0.3288,0.9326955696,0.1893102678,0.4481033324,1.3968012846,True,0.4590849243,0.4133923936,I 信息技术,0.0377928949,0.129884736,0.3803418803,0.4444444444,0.0078737113,8
300705,九典制药,CN,SZSE,C 制造业,False,2017-10-10T00:00:00.000,5758350860.26,4245900523.19,11.51,80678336.0,11.99,2.17,False,False,False,True,80678336.0,20.0,True,False,False,True,0.1804,0.7294405354,0.1519875309,0.3067077209,1.3685128317,True,0.2603620401,0.4187350983,C 制造业,0.0330305533,0.1123685552,0.2489429175,0.2986257928,0.0082352941,73
